low,medium,high
85,78,93
90,97,100
107,107,97
85,80,79
100,90,97
97,83,71
101,101,111
64,121,99
111,108,85
100,100,99
76,110,97
136,111,111
100,97,104
90,51,93
135,94,90
104,80,107
149,101,108
99,92,78
107,100,95
99,77,78
113,108,86
104,85,
101,,
111,,
118,,
99,,
122,,
87,,
118,,
113,,
128,,
121,,
111,,
104,,
51,,
100,,
113,,
82,,
146,,
107,,
83,,
108,,
93,,
114,,
113,,
94,,
106,,
92,,
79,,
129,,
114,,
99,,
110,,
90,,
85,,
94,,
127,,
101,,
99,,
113,,
80,,
115,,
85,,
112,,
112,,
92,,
97,,
97,,
91,,
105,,
84,,
95,,
108,,
118,,
118,,
86,,
89,,
100,,
